,Unnamed: 0,order,Q_decile,mu,sigma,n
0,0,7,0,4.407061172168787,0.8637583958467853,1444382
1,1,8,0,5.341636674754954,1.3323657776992444,1766181
2,2,9,0,4.601906049483112,1.2160073622130434,15424610
3,3,10,0,4.489416897181358,1.0456737848261013,39354358
4,4,11,0,4.661726768543514,0.8464224891205778,69628584
5,5,12,0,5.385048746368929,0.8540171060212076,52325661
6,6,13,0,6.028151709275727,0.599911425618742,11613691
7,7,14,0,7.235539748559928,0.1795093264899801,5507437
8,8,7,1,4.43089373987075,0.9120910430489249,1159625
9,9,8,1,5.392182215869471,1.3291742421983086,1531656
10,10,9,1,4.670978599016333,1.2203304751337714,12038374
11,11,10,1,4.463000855319796,1.0830438262808142,35372759
12,12,11,1,4.646010971226574,0.8471923950709416,62684489
13,13,12,1,5.311379774027003,0.8765343748118719,48225680
14,14,13,1,5.989632523867407,0.6195805557881454,14731567
15,15,14,1,7.032912574897359,0.2443146708550341,5745601
16,16,7,2,4.453390289589933,0.9068933817323678,1148625
17,17,8,2,5.367174970996423,1.3311451332320647,1416517
18,18,9,2,4.568778225870043,1.1921684541528543,12478209
19,19,10,2,4.421044039966597,1.0609485824983182,32543521
20,20,11,2,4.64963297313774,0.8199391155515466,60614314
21,21,12,2,5.298857339313961,0.8359393562630928,46927852
22,22,13,2,6.042260283791905,0.6188625369447135,13277559
23,23,14,2,7.068989406363532,0.245864537258471,5421325
24,24,7,3,4.464270682784512,0.9298010808396654,917208
25,25,8,3,5.456857725234738,1.2874052365681166,1114945
26,26,9,3,4.6420236881687655,1.2190909453637713,10071295
27,27,10,3,4.404892611769905,1.071699622744301,32775139
28,28,11,3,4.632714256926089,0.8390260830722259,62009480
29,29,12,3,5.271306574645867,0.8261461975342304,47334421
30,30,13,3,6.0202492714213625,0.6480945058874658,13975695
31,31,14,3,7.034830950480435,0.2696042895278897,5192160
32,32,7,4,4.457557180208742,0.8728709397039054,1078625
33,33,8,4,5.36160725978419,1.3023570444953156,1238264
34,34,9,4,4.56541834513876,1.204500576584794,11036351
35,35,10,4,4.369375611068755,1.058929449357379,33392687
36,36,11,4,4.656796063778825,0.8359506034894172,61326706
37,37,12,4,5.279520395664818,0.8079818474607791,50048367
38,38,13,4,6.052105747018924,0.6738817149573683,15208425
39,39,14,4,6.926144971366119,0.3058078437165022,4243993
40,40,7,5,4.40187817819668,0.8952544981581311,1021479
41,41,8,5,5.405297552289726,1.2581850201794067,1146606
42,42,9,5,4.55941177446631,1.219491225913611,10513553
43,43,10,5,4.3546192608357135,1.034918324871293,37350037
44,44,11,5,4.624606369078775,0.8461371488086745,66906638
45,45,12,5,5.328781814280249,0.7853057464120643,48369936
46,46,13,5,6.048773323770623,0.6975203667689656,17378291
47,47,14,5,6.957785954292919,0.3216369480171008,4083116
48,48,7,6,4.42768267678894,0.8560584593273359,1031456
49,49,8,6,5.3176387535351575,1.3545688976500303,1062004
50,50,9,6,4.510590332535841,1.2031478527114436,10932759
51,51,10,6,4.327338194947326,1.026035535155802,38746874
52,52,11,6,4.641357401537925,0.8413183922309011,72540600
53,53,12,6,5.3559875789755065,0.7447750138938166,52361593
54,54,13,6,6.061579920395835,0.7131099915439191,17405449
55,55,14,6,6.863145001100114,0.3470716686551988,4798920
56,56,7,7,4.413866535976016,0.8757095317126784,1059553
57,57,8,7,5.354187902219672,1.3279453249280568,1090990
58,58,9,7,4.446443577375102,1.208801240457741,12338741
59,59,10,7,4.362163503556535,1.027798722683487,39482564
60,60,11,7,4.6645886697321215,0.8375762736672243,73520706
61,61,12,7,5.394530457193083,0.7361441236199339,54401943
62,62,13,7,6.072822041478871,0.7201210063988215,18354987
63,63,14,7,6.856596145455273,0.3591227383517303,4536772
64,64,7,8,4.4108651674319255,0.8451972805220874,1082939
65,65,8,8,5.303356929772794,1.3683590504605168,1177952
66,66,9,8,4.468391794820046,1.228418476748392,12302011
67,67,10,8,4.394932333462498,1.02443237528096,40951507
68,68,11,8,4.704200144284592,0.8243747214357018,76275190
69,69,12,8,5.443958462538266,0.6985727151594436,53257651
70,70,13,8,6.0142719196866326,0.7181600920733694,19084817
71,71,14,8,6.87286481602878,0.3628056959188548,4259916
72,72,7,9,4.426072684006989,0.7537405841235632,1065906
73,73,8,9,5.281484464732592,1.3586356480791704,1084531
74,74,9,9,4.413185699508178,1.1803508889047116,12611256
75,75,10,9,4.431022125641528,0.9787050887175625,43788839
76,76,11,9,4.761571550545321,0.8345357794782154,72142051
77,77,12,9,5.562059829956964,0.6928483729673103,49235827
78,78,13,9,6.111219598262597,0.7405087897550784,18660888
79,79,14,9,6.951018248342151,0.3804057818085335,3570245
